@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,98,24,66,56,0.540984,0.803279,0.597561,0.803279,0.402439,0.685315,0.672131,1.195122,0.295615
56,97,25,60,62,0.491803,0.795082,0.617834,0.795082,0.382166,0.695341,0.643443,1.235669,0.296261
57,97,25,59,63,0.483607,0.795082,0.621795,0.795082,0.378205,0.697842,0.639344,1.24359,0.296262
58,97,25,58,64,0.47541,0.795082,0.625806,0.795082,0.374194,0.700361,0.635246,1.251613,0.296263
59,97,25,57,65,0.467213,0.795082,0.62987,0.795082,0.37013,0.702899,0.631148,1.25974,0.296263
60,97,25,56,66,0.459016,0.795082,0.633987,0.795082,0.366013,0.705455,0.627049,1.267974,0.296263
61,97,25,55,67,0.45082,0.795082,0.638158,0.795082,0.361842,0.708029,0.622951,1.276316,0.296263
62,97,25,54,68,0.442623,0.795082,0.642384,0.795082,0.357616,0.710623,0.618852,1.284768,0.296264
63,95,27,54,68,0.442623,0.778689,0.637584,0.778689,0.362416,0.701107,0.610656,1.275168,0.296264
64,95,27,51,71,0.418033,0.778689,0.650685,0.778689,0.349315,0.708955,0.598361,1.30137,0.296743
65,94,28,51,71,0.418033,0.770492,0.648276,0.770492,0.351724,0.70412,0.594262,1.296552,0.300346
66,93,29,51,71,0.418033,0.762295,0.645833,0.762295,0.354167,0.699248,0.590164,1.291667,0.301581
67,93,29,50,72,0.409836,0.762295,0.65035,0.762295,0.34965,0.701887,0.586066,1.300699,0.301601
68,92,30,50,72,0.409836,0.754098,0.647887,0.754098,0.352113,0.69697,0.581967,1.295775,0.301601
69,92,30,49,73,0.401639,0.754098,0.652482,0.754098,0.347518,0.69962,0.577869,1.304965,0.301602
70,92,30,48,74,0.393443,0.754098,0.657143,0.754098,0.342857,0.70229,0.57377,1.314286,0.301602
71,92,30,47,75,0.385246,0.754098,0.661871,0.754098,0.338129,0.704981,0.569672,1.323741,0.301602
72,92,30,46,76,0.377049,0.754098,0.666667,0.754098,0.333333,0.707692,0.565574,1.333333,0.301602
