@relation defacto

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute total_positives_evidence_score numeric
@attribute total_negatives_evidence_score numeric
@attribute domain_range_check numeric
@attribute class {true,false}

@data
false/property/genre_2.ttl,0,0,62,0,0,0,0,0,0,2,0,0,0,0.5,false
false/property/genus_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/genus_1.ttl,0,0.181818,140,0,0.424242,0,8.136364,0,1.545455,15,0,0,0,0,false
false/property/genus_5.ttl,0,0,6,0,0,0,0,0,0,0,0,0,0,1,false
false/property/ground_1.ttl,0,0,4,0,0,0,0,0,0,0,0,0,0,1,false
false/property/industry_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/industry_9.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/is_part_of_1.ttl,0,0,5,0,0,0,0,0,0,1,0,0,0,0.5,false
false/property/is_part_of_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/kingdom_2.ttl,0,0,13,0,0,0,0,0,0,0,0,0,0,1,false
false/property/language_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/language_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
false/property/language_7.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,1,false
false/property/location_3.ttl,0,0.245902,127449,0,0.64,0,22.24,0,50.448,117,0,0,0,0.5,false
false/property/location_6.ttl,0,0.06,901715,0,0.427018,0,102.693333,0,8.2,0,0,0,0,0.5,false
false/property/location_7.ttl,0,0,25,0,0.929412,0,19.529412,0,3.882353,4,0,0,0,1,false
false/property/location_9.ttl,0,0,214528,0,0.56851,0,68.394231,0,12.75,0,0,0,0,0,false
false/property/music_composer_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
false/property/music_composer_6.ttl,0,0,10,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/music_composer_8.ttl,0,0,468,0,0.793103,0,34.913793,0,35.689655,5,0,0,0,0.5,false
false/property/music_composer_9.ttl,0,0.222222,420,0,0.68661,0,28.592593,0,4.518519,2,0,0,0,1,false
false/property/musical_artist_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/musical_band_1.ttl,0,0.27957,176278,0,0.312551,0,54.326316,0,13.389474,1,0,0,0.003402,0.5,false
false/property/musical_band_3.ttl,0,0.222222,9,0,0,0,0,0,0,10,0,0,0.053357,0,false
false/property/musical_band_9.ttl,0,0.15625,149,0,0,0,0,0,0,25,0,0,0.038048,0.5,false
false/property/nationality_6.ttl,0,0,13,0,0.623457,0,9.222222,0,2.222222,0,0,0,0,1,false
false/property/nationality_7.ttl,0,0,42917,0,0.369643,0,31.321429,0,12.857143,0,0,0,0,0.5,false
false/property/order_0.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false
false/property/order_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
false/property/owner_2.ttl,0,0.12963,750,0,0.569091,0,65.345455,0,16.981818,20,0,0,0.00029,0.5,false
false/property/party_0.ttl,0,0,1036,0,0,0,0,0,0,0,0,0,0,1,false
false/property/party_1.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
false/property/party_6.ttl,0,0,32,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/phylum_0.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,1,false
false/property/phylum_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
false/property/producer_0.ttl,0,0.046154,574,0,0.684314,0,67.014706,0,19,8,0,0,0.269686,0.5,false
false/property/producer_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/producer_4.ttl,0,0.190476,24001,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/product_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/product_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/product_8.ttl,0,0,9,0,0.824074,0,18,0,3.111111,0,0,0,0,1,false
false/property/publisher_1.ttl,0,0,1,0,0,0,0,0,0,1,0,0,0,1,false
false/property/publisher_4.ttl,0,0.245283,775,0,0.51752,0,69.264151,0,20.528302,42,0,0,0,1,false
false/property/publisher_6.ttl,0,0.194444,324,0,0.37037,0,25.444444,0,13.611111,15,0,0,0,0.5,false
false/property/publisher_9.ttl,0,0.175,444,0,0,0,0,0,0,11,0,0,0,0.5,false
false/property/record_label_1.ttl,0,0.111111,42037,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/record_label_3.ttl,0,0,72161,0,0.764706,0,127.917647,0,21.058824,6,0,0,0.003437,0.5,false
false/property/record_label_8.ttl,0,0,8,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/recorded_in_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/region_1.ttl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,false
false/property/region_2.ttl,0,0,20,0,0.488889,0,15.866667,0,2.4,0,0,0,0,0.5,false
false/property/region_5.ttl,0,0.4,37,0,0,0,0,0,0,4,0,0,0,0.5,false
false/property/region_8.ttl,0,0.024691,47530,0,0.391115,0,26.414634,0,17.902439,26,0,0,0.149607,0,false
false/property/residence_1.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/residence_7.ttl,0,0,71011,0,0.596563,0,18.191489,0,24.574468,6,0,0,0,0,false
false/property/residence_8.ttl,0,0.372549,143961,0,0.629245,0,64.264151,0,13.018868,495,0,0,0.870225,0,false
false/property/starring_5.ttl,0,0.072464,25769,0,0.669082,0,72.521739,0,19.362319,132,0,0,0.100871,0.5,false
false/property/starring_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/starring_7.ttl,0,0.03125,921,0,0,0,0,0,0,3,0,0,0,1,false
false/property/starring_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/state_0.ttl,0,0,1759,0,0.414286,0,20.714286,0,10.457143,36,0,0,0,1,false
false/property/state_6.ttl,0,0.777778,26,0,0.6625,0,9.15,0,5.8,19,0,0,0.153487,0,false
false/property/subsequent_work_5.ttl,0,0,524,0,0.861538,0,68.487179,0,5.692308,0,0,0,0,0.5,false
false/property/successor_0.ttl,0,0,7,0,0,0,0,0,0,1,0,0,0,0.5,false
