@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,224,4,248,51,0.829431,0.982456,0.474576,0.982456,0.525424,0.64,0.895636,1.096937,0.000896
56,224,4,247,52,0.826087,0.982456,0.475584,0.982456,0.524416,0.640916,0.893738,1.099266,0.000898
57,224,4,246,53,0.822742,0.982456,0.476596,0.982456,0.523404,0.641834,0.891841,1.101605,0.000929
58,224,4,245,54,0.819398,0.982456,0.477612,0.982456,0.522388,0.642755,0.889943,1.103954,0.000952
59,224,4,244,55,0.816054,0.982456,0.478632,0.982456,0.521368,0.643678,0.888046,1.106313,0.000978
60,223,5,244,55,0.816054,0.97807,0.477516,0.97807,0.522484,0.641727,0.886148,1.103732,0.00098
61,223,5,243,56,0.812709,0.97807,0.478541,0.97807,0.521459,0.642651,0.88425,1.106101,0.00098
62,223,5,242,57,0.809365,0.97807,0.47957,0.97807,0.52043,0.643579,0.882353,1.10848,0.000981
63,223,5,241,58,0.80602,0.97807,0.480603,0.97807,0.519397,0.644509,0.880455,1.110868,0.000983
64,223,5,240,59,0.802676,0.97807,0.481641,0.97807,0.518359,0.645441,0.878558,1.113268,0.001053
65,223,5,239,60,0.799331,0.97807,0.482684,0.97807,0.517316,0.646377,0.87666,1.115677,0.001054
66,223,5,238,61,0.795987,0.97807,0.483731,0.97807,0.516269,0.647315,0.874763,1.118098,0.001084
67,223,5,237,62,0.792642,0.97807,0.484783,0.97807,0.515217,0.648256,0.872865,1.120528,0.001112
68,223,5,236,63,0.789298,0.97807,0.485839,0.97807,0.514161,0.649199,0.870968,1.122969,0.001131
69,223,5,235,64,0.785953,0.97807,0.4869,0.97807,0.5131,0.650146,0.86907,1.125421,0.001134
70,223,5,234,65,0.782609,0.97807,0.487965,0.97807,0.512035,0.651095,0.867173,1.127884,0.001168
71,223,5,233,66,0.779264,0.97807,0.489035,0.97807,0.510965,0.652047,0.865275,1.130357,0.001322
72,223,5,232,67,0.77592,0.97807,0.49011,0.97807,0.50989,0.653001,0.863378,1.132842,0.001323
73,223,5,231,68,0.772575,0.97807,0.491189,0.97807,0.508811,0.653959,0.86148,1.135337,0.001336
74,223,5,230,69,0.769231,0.97807,0.492274,0.97807,0.507726,0.654919,0.859583,1.137843,0.001336
75,223,5,229,70,0.765886,0.97807,0.493363,0.97807,0.506637,0.655882,0.857685,1.140361,0.001338
76,223,5,228,71,0.762542,0.97807,0.494457,0.97807,0.505543,0.656848,0.855787,1.142889,0.00134
77,223,5,227,72,0.759197,0.97807,0.495556,0.97807,0.504444,0.657817,0.85389,1.145429,0.001349
78,223,5,226,73,0.755853,0.97807,0.496659,0.97807,0.503341,0.658789,0.851992,1.14798,0.001377
79,223,5,225,74,0.752508,0.97807,0.497768,0.97807,0.502232,0.659763,0.850095,1.150542,0.001414
80,223,5,224,75,0.749164,0.97807,0.498881,0.97807,0.501119,0.660741,0.848197,1.153116,0.001417
81,223,5,223,76,0.745819,0.97807,0.5,0.97807,0.5,0.661721,0.8463,1.155702,0.001498
82,223,5,222,77,0.742475,0.97807,0.501124,0.97807,0.498876,0.662704,0.844402,1.158299,0.001514
83,223,5,221,78,0.73913,0.97807,0.502252,0.97807,0.497748,0.66369,0.842505,1.160908,0.001558
84,223,5,220,79,0.735786,0.97807,0.503386,0.97807,0.496614,0.66468,0.840607,1.163528,0.001663
85,223,5,219,80,0.732441,0.97807,0.504525,0.97807,0.495475,0.665672,0.83871,1.166161,0.001765
86,222,6,219,80,0.732441,0.973684,0.503401,0.973684,0.496599,0.663677,0.836812,1.163564,0.001854
87,222,6,218,81,0.729097,0.973684,0.504545,0.973684,0.495455,0.664671,0.834915,1.166208,0.001873
88,222,6,217,82,0.725753,0.973684,0.505695,0.973684,0.494305,0.665667,0.833017,1.168865,0.00196
89,222,6,216,83,0.722408,0.973684,0.506849,0.973684,0.493151,0.666667,0.83112,1.171533,0.001992
90,222,6,215,84,0.719064,0.973684,0.508009,0.973684,0.491991,0.667669,0.829222,1.174214,0.002005
91,222,6,214,85,0.715719,0.973684,0.509174,0.973684,0.490826,0.668675,0.827324,1.176907,0.002014
92,222,6,213,86,0.712375,0.973684,0.510345,0.973684,0.489655,0.669683,0.825427,1.179613,0.002045
93,222,6,212,87,0.70903,0.973684,0.511521,0.973684,0.488479,0.670695,0.823529,1.182331,0.002108
94,222,6,211,88,0.705686,0.973684,0.512702,0.973684,0.487298,0.67171,0.821632,1.185061,0.002113
95,222,6,210,89,0.702341,0.973684,0.513889,0.973684,0.486111,0.672727,0.819734,1.187805,0.002261
96,222,6,209,90,0.698997,0.973684,0.515081,0.973684,0.484919,0.673748,0.817837,1.190561,0.002278
97,222,6,208,91,0.695652,0.973684,0.516279,0.973684,0.483721,0.674772,0.815939,1.193329,0.002292
98,222,6,207,92,0.692308,0.973684,0.517483,0.973684,0.482517,0.675799,0.814042,1.196111,0.002298
99,222,6,206,93,0.688963,0.973684,0.518692,0.973684,0.481308,0.676829,0.812144,1.198906,0.002298
100,222,6,205,94,0.685619,0.973684,0.519906,0.973684,0.480094,0.677863,0.810247,1.201713,0.0023
101,222,6,204,95,0.682274,0.973684,0.521127,0.973684,0.478873,0.678899,0.808349,1.204534,0.002302
102,222,6,203,96,0.67893,0.973684,0.522353,0.973684,0.477647,0.679939,0.806452,1.207368,0.002302
103,222,6,202,97,0.675585,0.973684,0.523585,0.973684,0.476415,0.680982,0.804554,1.210216,0.002304
104,222,6,201,98,0.672241,0.973684,0.524823,0.973684,0.475177,0.682028,0.802657,1.213077,0.002307
105,222,6,200,99,0.668896,0.973684,0.526066,0.973684,0.473934,0.683077,0.800759,1.215952,0.002386
106,222,6,199,100,0.665552,0.973684,0.527316,0.973684,0.472684,0.684129,0.798861,1.21884,0.002476
107,222,6,198,101,0.662207,0.973684,0.528571,0.973684,0.471429,0.685185,0.796964,1.221742,0.002513
