2013	4022
2012	3341
2011	2956
2010	2526
2008	2276
2007	2038
2009	2038
2006	1279
2005	1184
2003	1011
2004	980
2002	934
1902	727
1968	690
2001	651
1996	626
1997	619
1993	618
2000	579
1923	565
1985	538
1974	514
1999	482
1903	478
1973	478
1977	477
1992	476
1954	470
1980	458
1983	449
1930	444
1994	442
1963	438
1965	434
1957	429
1967	427
1934	423
1987	411
1910	407
1984	402
1907	395
1912	384
1978	381
1915	380
1972	373
1998	364
1933	363
1966	357
1945	353
1921	347
1949	338
1979	333
1901	332
1971	328
1922	327
1937	320
1995	309
1969	296
1981	291
1991	287
1976	283
1911	275
1970	275
1928	272
1916	267
1944	262
1962	254
1982	247
1917	246
1990	243
1956	241
1904	239
1942	234
1906	230
1914	210
1952	201
1929	200
1940	200
1953	197
1964	192
1948	188
1946	187
1986	187
1908	186
1989	182
1975	180
1941	179
1919	177
1961	175
1959	173
1988	172
1887	165
1905	163
1939	162
1947	162
1925	159
1924	157
1932	153
1950	149
1955	147
1943	145
1024	144
1815	143
1920	142
1913	141
1892	134
1899	134
1926	132
1958	129
1960	126
1891	120
1938	118
1885	116
1867	114
1893	113
1909	101
1886	95
1931	95
1280	92
1866	89
1896	89
1600	84
1918	84
1936	84
1884	81
1882	76
1849	74
1809	72
1894	71
1879	69
1881	69
1818	68
1001	65
1080	65
1812	65
1050	64
1856	63
1889	59
1831	58
1898	58
1865	57
1701	55
1859	53
1621	51
1890	51
1874	50
1723	49
1830	49
1877	48
1888	48
1000	47
1870	47
1897	47
1608	46
1819	46
1862	45
1951	45
1869	44
1601	43
1680	43
1440	42
1633	42
1639	42
1720	42
1808	42
1935	42
1900	41
1626	40
1627	40
1636	40
1637	40
1643	40
1704	40
1716	40
1717	40
1632	38
1667	38
1875	38
1222	37
1729	37
1927	37
1724	36
1713	34
1817	34
1797	33
1895	33
1843	32
1850	32
1863	32
1800	31
1834	31
1230	30
1826	30
1828	28
1832	28
1816	26
1822	26
1860	26
1880	26
1825	25
1857	25
1111	24
1136	24
1845	24
1852	24
1429	22
1700	22
1820	22
1420	21
1603	21
1733	21
1745	21
1758	21
1847	21
1871	21
1315	20
1337	20
1422	20
1424	20
1500	20
1517	20
1602	20
1610	20
1616	20
1629	20
1722	20
1813	20
1837	20
1868	20
1876	20
1205	18
1300	18
1810	18
1804	17
1861	17
1878	17
1200	16
1530	16
1833	16
1840	16
1842	16
1848	16
1864	16
1366	15
1790	15
1807	15
1836	15
1841	15
1873	15
1883	15
1100	14
1853	14
1854	14
1614	12
1769	12
1823	12
1829	12
1835	12
1801	11
1116	10
1202	10
1858	10
1754	9
1176	8
1270	8
1740	8
1778	8
1787	8
1838	8
1011	7
1105	7
1306	7
1398	7
1715	7
1735	7
1786	7
1795	7
1827	7
1839	7
1023	6
1256	6
1475	6
1748	6
1844	6
1851	6
1114	5
1261	5
1275	5
1284	5
1310	5
1542	5
1565	5
1688	5
1689	5
1695	5
1764	5
1767	5
1782	5
1785	5
1789	5
1796	5
1014	4
1049	4
1055	4
1090	4
1117	4
1124	4
1167	4
1281	4
1301	4
1344	4
1437	4
1438	4
1509	4
1585	4
1606	4
1625	4
1642	4
1682	4
1685	4
1744	4
1783	4
1788	4
1798	4
1824	4
1846	4
1872	4
1017	3
1150	3
1174	3
1194	3
1362	3
1418	3
1476	3
1532	3
1591	3
1686	3
1691	3
1746	3
1791	3
1799	3
1803	3
1012	2
1020	2
1021	2
1030	2
1045	2
1086	2
1096	2
1112	2
1137	2
1175	2
1181	2
1211	2
1213	2
1220	2
1232	2
1271	2
1290	2
1307	2
1317	2
1340	2
1349	2
1365	2
1377	2
1400	2
1446	2
1449	2
1474	2
1494	2
1501	2
1518	2
1551	2
1569	2
1597	2
1605	2
1628	2
1646	2
1649	2
1669	2
1684	2
1696	2
1705	2
1743	2
1753	2
1757	2
1775	2
1793	2
1814	2
1821	2
1084	1
1092	1
1098	1
1104	1
1109	1
1113	1
1123	1
1146	1
1190	1
1193	1
1214	1
1234	1
1244	1
1250	1
1333	1
1335	1
1353	1
1357	1
1363	1
1376	1
1397	1
1460	1
1483	1
1513	1
1515	1
1526	1
1539	1
1547	1
1556	1
1560	1
1561	1
1566	1
1590	1
1595	1
1622	1
1631	1
1659	1
1660	1
1674	1
1681	1
1692	1
1742	1
1747	1
1751	1
1756	1
1763	1
1766	1
1776	1
1784	1
1806	1
1811	1
1855	1
