2013	2074
2012	1763
2011	1546
2010	1365
2008	1356
2007	1194
2009	1091
2005	713
2003	698
2006	697
2002	604
2004	579
1902	555
1968	534
1996	476
1993	449
1923	422
2001	400
1997	395
1903	391
2000	391
1974	368
1930	365
1985	358
1957	331
1977	330
1983	325
1973	323
1954	322
1992	321
1965	310
1910	300
1907	299
1980	295
1933	292
1963	291
1934	290
1912	284
1999	284
1949	283
1994	283
1921	281
1915	280
1967	274
1984	271
1966	270
1945	263
1978	260
1972	249
1987	245
1937	244
1922	239
1998	238
1901	236
1928	205
1979	204
1911	199
1995	195
1969	193
1944	185
1962	185
1916	182
1942	178
1970	178
1981	178
1991	178
1906	177
1956	167
1971	167
1904	165
1990	165
1976	164
1982	164
1917	160
1948	157
1914	151
1946	147
1940	142
1905	140
1908	140
1919	140
1929	139
1952	135
1964	131
1959	128
1941	125
1947	125
1953	124
1925	123
1961	123
1989	118
1939	116
1950	116
1932	115
1975	114
1943	109
1986	109
1955	95
1924	93
1988	93
1815	92
1892	88
1867	85
1958	85
1885	84
1913	84
1024	81
1920	81
1938	81
1899	80
1893	78
1887	75
1891	73
1896	64
1926	64
1960	64
1849	58
1280	57
1931	57
1818	56
1886	56
1831	55
1856	53
1866	53
1884	51
1918	51
1879	50
1889	50
1600	49
1812	46
1894	45
1890	42
1909	42
1080	41
1865	40
1819	39
1859	39
1882	39
1001	38
1050	38
1701	38
1888	36
1809	35
1869	35
1936	35
1862	34
1875	33
1881	32
1667	31
1723	30
1830	30
1870	30
1951	30
1898	29
1000	28
1863	27
1601	26
1639	26
1720	26
1897	26
1440	25
1729	25
1817	25
1874	25
1608	24
1621	24
1626	24
1627	24
1632	24
1633	24
1636	24
1637	24
1643	24
1704	24
1716	24
1717	24
1724	24
1230	23
1222	22
1680	22
1713	22
1850	22
1860	21
1877	21
1826	20
1828	20
1816	18
1852	18
1900	17
1935	17
1111	16
1337	16
1530	16
1843	16
1845	16
1847	16
1895	16
1136	15
1834	15
1871	15
1927	15
1429	14
1745	14
1797	14
1873	14
1800	13
1820	13
1836	13
1857	13
1880	13
1100	12
1205	12
1315	12
1420	12
1422	12
1424	12
1517	12
1602	12
1603	12
1610	12
1616	12
1629	12
1722	12
1733	12
1790	12
1810	12
1841	12
1853	12
1500	11
1769	11
1822	11
1825	11
1835	11
1883	11
1116	10
1700	10
1807	10
1833	10
1837	10
1842	10
1868	10
1823	9
1202	8
1270	8
1300	8
1366	8
1614	8
1758	8
1808	8
1829	8
1832	8
1876	8
1795	7
1848	7
1854	7
1011	6
1398	6
1475	6
1801	6
1813	6
1840	6
1858	6
1864	6
1114	5
1275	5
1306	5
1565	5
1767	5
1839	5
1851	5
1861	5
1049	4
1055	4
1105	4
1124	4
1167	4
1200	4
1281	4
1301	4
1344	4
1542	4
1585	4
1748	4
1786	4
1787	4
1804	4
1846	4
1017	3
1023	3
1090	3
1320	3
1532	3
1625	3
1685	3
1688	3
1691	3
1735	3
1754	3
1782	3
1788	3
1824	3
1827	3
1838	3
1878	3
1014	2
1030	2
1086	2
1117	2
1137	2
1174	2
1176	2
1194	2
1213	2
1220	2
1232	2
1290	2
1310	2
1317	2
1331	2
1340	2
1349	2
1376	2
1377	2
1414	2
1446	2
1474	2
1494	2
1501	2
1518	2
1551	2
1605	2
1659	2
1738	2
1740	2
1743	2
1753	2
1757	2
1764	2
1783	2
1796	2
1844	2
1872	2
1012	1
1084	1
1092	1
1096	1
1104	1
1109	1
1150	1
1214	1
1234	1
1250	1
1353	1
1357	1
1362	1
1400	1
1513	1
1560	1
1566	1
1590	1
1591	1
1669	1
1682	1
1686	1
1715	1
1727	1
1744	1
1746	1
1747	1
1751	1
1766	1
1778	1
1784	1
1789	1
1799	1
1803	1
