2013	1038
2011	894
2012	893
2008	806
2010	692
2007	616
2009	550
2003	484
2005	428
2006	417
1968	403
2002	389
1996	352
2004	344
1993	335
1903	319
1902	313
1923	313
1997	307
1930	298
1985	283
2001	271
2000	268
1983	263
1974	257
1957	254
1954	245
1977	240
1933	239
1973	239
1992	234
1963	232
1910	229
1907	227
1915	226
1965	226
1966	226
1921	224
1934	223
1980	214
1994	214
1945	207
1912	196
1949	189
1978	188
1984	181
1937	180
1922	177
1972	176
1967	175
1998	168
1987	164
1901	161
1999	158
1928	151
1916	148
1979	144
1944	141
1911	135
1942	135
1962	135
1906	133
1995	128
1948	125
1956	124
1969	124
1981	123
1904	117
1917	113
1946	112
1970	111
1976	110
1940	109
1982	108
1914	106
1929	104
1919	103
1991	103
1947	99
1990	97
1905	96
1943	96
1908	93
1925	92
1959	91
1971	89
1939	88
1924	87
1961	86
1941	85
1815	84
1964	84
1950	79
1952	79
1953	77
1989	76
1955	73
1932	68
1988	67
1975	66
1986	64
1885	58
1938	57
1867	55
1892	54
1893	54
1920	53
1849	52
1887	50
1958	50
1896	46
1960	43
1891	42
1856	41
1879	41
1890	40
1913	39
1809	38
1831	37
1926	37
1889	36
1818	35
1931	35
1024	34
1859	33
1884	32
1866	31
1918	31
1819	30
1882	28
1812	27
1909	27
1875	26
1869	25
1894	25
1862	24
1898	24
1830	23
1080	22
1667	22
1701	22
1899	22
1050	21
1222	21
1600	21
1001	20
1280	20
1886	20
1000	19
1230	19
1870	19
1863	18
1874	18
1897	18
1951	17
1877	16
1936	16
1723	14
1865	14
1871	14
1881	14
1817	13
1860	13
1895	13
1935	13
1745	12
1843	12
1845	12
1850	12
1800	11
1826	11
1888	11
1900	11
1100	10
1530	10
1601	10
1790	10
1797	10
1836	10
1857	10
1927	10
1205	9
1337	9
1440	9
1680	9
1720	9
1769	9
1828	9
1841	9
1852	9
1880	9
1111	8
1270	8
1608	8
1621	8
1626	8
1627	8
1632	8
1633	8
1636	8
1637	8
1639	8
1643	8
1704	8
1713	8
1716	8
1717	8
1724	8
1729	8
1758	8
1816	8
1822	8
1847	8
1853	8
1136	7
1834	7
1116	6
1429	6
1475	6
1500	6
1700	6
1795	6
1823	6
1825	6
1854	6
1873	6
1883	6
1807	5
1833	5
1851	5
1858	5
1868	5
1049	4
1275	4
1315	4
1398	4
1420	4
1422	4
1424	4
1517	4
1565	4
1602	4
1603	4
1605	4
1610	4
1614	4
1616	4
1629	4
1722	4
1733	4
1748	4
1787	4
1801	4
1804	4
1810	4
1820	4
1829	4
1832	4
1861	4
1864	4
1017	3
1023	3
1114	3
1306	3
1625	3
1808	3
1839	3
1840	3
1014	2
1030	2
1086	2
1090	2
1105	2
1117	2
1124	2
1137	2
1167	2
1194	2
1234	2
1281	2
1290	2
1494	2
1501	2
1518	2
1685	2
1735	2
1740	2
1743	2
1764	2
1782	2
1783	2
1786	2
1827	2
1835	2
1838	2
1844	2
1846	2
1848	2
1876	2
1012	1
1092	1
1104	1
1109	1
1122	1
1134	1
1214	1
1250	1
1340	1
1362	1
1474	1
1585	1
1686	1
1688	1
1691	1
1746	1
1751	1
1757	1
1766	1
1767	1
1778	1
1788	1
1789	1
1796	1
1824	1
1837	1
1842	1
1878	1
