@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,101,21,69,53,0.565574,0.827869,0.594118,0.827869,0.405882,0.691781,0.696721,1.188235,0.248566
56,101,21,68,54,0.557377,0.827869,0.597633,0.827869,0.402367,0.694158,0.692623,1.195266,0.248568
57,101,21,67,55,0.54918,0.827869,0.60119,0.827869,0.39881,0.696552,0.688525,1.202381,0.24857
58,100,22,67,55,0.54918,0.819672,0.598802,0.819672,0.401198,0.692042,0.684426,1.197605,0.248572
59,100,22,66,56,0.540984,0.819672,0.60241,0.819672,0.39759,0.694444,0.680328,1.204819,0.248579
60,99,23,66,56,0.540984,0.811475,0.6,0.811475,0.4,0.689895,0.67623,1.2,0.248581
61,98,24,60,62,0.491803,0.803279,0.620253,0.803279,0.379747,0.7,0.647541,1.240506,0.252244
62,98,24,59,63,0.483607,0.803279,0.624204,0.803279,0.375796,0.702509,0.643443,1.248408,0.25246
63,97,25,59,63,0.483607,0.795082,0.621795,0.795082,0.378205,0.697842,0.639344,1.24359,0.252466
64,97,25,58,64,0.47541,0.795082,0.625806,0.795082,0.374194,0.700361,0.635246,1.251613,0.252469
65,97,25,57,65,0.467213,0.795082,0.62987,0.795082,0.37013,0.702899,0.631148,1.25974,0.252471
66,97,25,56,66,0.459016,0.795082,0.633987,0.795082,0.366013,0.705455,0.627049,1.267974,0.252471
67,97,25,55,67,0.45082,0.795082,0.638158,0.795082,0.361842,0.708029,0.622951,1.276316,0.252472
68,97,25,54,68,0.442623,0.795082,0.642384,0.795082,0.357616,0.710623,0.618852,1.284768,0.252473
69,95,27,53,69,0.434426,0.778689,0.641892,0.778689,0.358108,0.703704,0.606557,1.283784,0.255878
70,94,28,53,69,0.434426,0.770492,0.639456,0.770492,0.360544,0.698885,0.602459,1.278912,0.255894
71,94,28,52,70,0.42623,0.770492,0.643836,0.770492,0.356164,0.701493,0.598361,1.287671,0.255899
72,93,29,52,70,0.42623,0.762295,0.641379,0.762295,0.358621,0.696629,0.594262,1.282759,0.255901
73,93,29,51,71,0.418033,0.762295,0.645833,0.762295,0.354167,0.699248,0.590164,1.291667,0.255901
74,93,29,44,78,0.360656,0.762295,0.678832,0.762295,0.321168,0.718147,0.561475,1.357664,0.258019
75,93,29,43,79,0.352459,0.762295,0.683824,0.762295,0.316176,0.72093,0.557377,1.367647,0.258097
76,93,29,42,80,0.344262,0.762295,0.688889,0.762295,0.311111,0.723735,0.553279,1.377778,0.258134
77,93,29,41,81,0.336066,0.762295,0.69403,0.762295,0.30597,0.726563,0.54918,1.38806,0.258142
78,93,29,40,82,0.327869,0.762295,0.699248,0.762295,0.300752,0.729412,0.545082,1.398496,0.258146
79,93,29,39,83,0.319672,0.762295,0.704545,0.762295,0.295455,0.732283,0.540984,1.409091,0.258155
80,93,29,38,84,0.311475,0.762295,0.709924,0.762295,0.290076,0.735178,0.536885,1.419847,0.258159
81,91,31,38,84,0.311475,0.745902,0.705426,0.745902,0.294574,0.7251,0.528689,1.410853,0.258163
82,91,31,35,87,0.286885,0.745902,0.722222,0.745902,0.277778,0.733871,0.516393,1.444444,0.263192
83,91,31,34,88,0.278689,0.745902,0.728,0.745902,0.272,0.736842,0.512295,1.456,0.263453
84,91,31,33,89,0.270492,0.745902,0.733871,0.745902,0.266129,0.739837,0.508197,1.467742,0.263459
85,91,31,32,90,0.262295,0.745902,0.739837,0.745902,0.260163,0.742857,0.504098,1.479675,0.263466
86,91,31,30,92,0.245902,0.745902,0.752066,0.745902,0.247934,0.748971,0.495902,1.504132,0.263471
87,91,31,29,93,0.237705,0.745902,0.758333,0.745902,0.241667,0.752066,0.491803,1.516667,0.263473
88,91,31,28,94,0.229508,0.745902,0.764706,0.745902,0.235294,0.755187,0.487705,1.529412,0.263474
89,89,33,25,97,0.204918,0.729508,0.780702,0.729508,0.219298,0.754237,0.467213,1.561404,0.26576
90,89,33,24,98,0.196721,0.729508,0.787611,0.729508,0.212389,0.757447,0.463115,1.575221,0.265776
91,88,34,23,99,0.188525,0.721311,0.792793,0.721311,0.207207,0.755365,0.454918,1.585586,0.265781
92,88,34,22,100,0.180328,0.721311,0.8,0.721311,0.2,0.758621,0.45082,1.6,0.265784
93,88,34,21,101,0.172131,0.721311,0.807339,0.721311,0.192661,0.761905,0.446721,1.614679,0.265785
94,88,34,20,102,0.163934,0.721311,0.814815,0.721311,0.185185,0.765217,0.442623,1.62963,0.265789
95,88,34,18,104,0.147541,0.721311,0.830189,0.721311,0.169811,0.77193,0.434426,1.660377,0.26579
96,88,34,17,105,0.139344,0.721311,0.838095,0.721311,0.161905,0.77533,0.430328,1.67619,0.265791
97,88,34,15,107,0.122951,0.721311,0.854369,0.721311,0.145631,0.782222,0.422131,1.708738,0.272969
98,87,35,15,107,0.122951,0.713115,0.852941,0.713115,0.147059,0.776786,0.418033,1.705882,0.273695
99,87,35,14,108,0.114754,0.713115,0.861386,0.713115,0.138614,0.780269,0.413934,1.722772,0.279051
100,86,36,14,108,0.114754,0.704918,0.86,0.704918,0.14,0.774775,0.409836,1.72,0.287461
101,86,36,13,109,0.106557,0.704918,0.868687,0.704918,0.131313,0.778281,0.405738,1.737374,0.310714
