@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,99,23,67,55,0.54918,0.811475,0.596386,0.811475,0.403614,0.6875,0.680328,1.192771,0.277714
56,98,24,67,55,0.54918,0.803279,0.593939,0.803279,0.406061,0.682927,0.67623,1.187879,0.278654
57,97,25,67,55,0.54918,0.795082,0.591463,0.795082,0.408537,0.678322,0.672131,1.182927,0.278656
58,97,25,66,56,0.540984,0.795082,0.595092,0.795082,0.404908,0.680702,0.668033,1.190184,0.278656
59,97,25,65,57,0.532787,0.795082,0.598765,0.795082,0.401235,0.683099,0.663934,1.197531,0.278656
60,96,26,65,57,0.532787,0.786885,0.596273,0.786885,0.403727,0.678445,0.659836,1.192547,0.278657
61,96,26,64,58,0.52459,0.786885,0.6,0.786885,0.4,0.680851,0.655738,1.2,0.278658
62,95,27,64,58,0.52459,0.778689,0.597484,0.778689,0.402516,0.676157,0.651639,1.194969,0.278658
63,94,28,58,64,0.47541,0.770492,0.618421,0.770492,0.381579,0.686131,0.622951,1.236842,0.278741
64,93,29,58,64,0.47541,0.762295,0.615894,0.762295,0.384106,0.681319,0.618852,1.231788,0.285407
65,93,29,57,65,0.467213,0.762295,0.62,0.762295,0.38,0.683824,0.614754,1.24,0.28546
66,93,29,56,66,0.459016,0.762295,0.624161,0.762295,0.375839,0.686347,0.610656,1.248322,0.28558
67,92,30,56,66,0.459016,0.754098,0.621622,0.754098,0.378378,0.681481,0.606557,1.243243,0.285583
68,92,30,55,67,0.45082,0.754098,0.62585,0.754098,0.37415,0.684015,0.602459,1.251701,0.285586
69,92,30,54,68,0.442623,0.754098,0.630137,0.754098,0.369863,0.686567,0.598361,1.260274,0.285586
70,92,30,53,69,0.434426,0.754098,0.634483,0.754098,0.365517,0.689139,0.594262,1.268966,0.285587
71,92,30,52,70,0.42623,0.754098,0.638889,0.754098,0.361111,0.691729,0.590164,1.277778,0.285587
72,92,30,51,71,0.418033,0.754098,0.643357,0.754098,0.356643,0.69434,0.586066,1.286713,0.285588
73,90,32,50,72,0.409836,0.737705,0.642857,0.737705,0.357143,0.687023,0.57377,1.285714,0.292314
74,89,33,50,72,0.409836,0.729508,0.640288,0.729508,0.359712,0.681992,0.569672,1.280576,0.293078
75,89,33,49,73,0.401639,0.729508,0.644928,0.729508,0.355072,0.684615,0.565574,1.289855,0.294939
76,89,33,48,74,0.393443,0.729508,0.649635,0.729508,0.350365,0.687259,0.561475,1.29927,0.294947
77,89,33,47,75,0.385246,0.729508,0.654412,0.729508,0.345588,0.689922,0.557377,1.308824,0.294951
78,89,33,46,76,0.377049,0.729508,0.659259,0.729508,0.340741,0.692607,0.553279,1.318519,0.294952
79,89,33,45,77,0.368852,0.729508,0.664179,0.729508,0.335821,0.695313,0.54918,1.328358,0.294953
80,89,33,44,78,0.360656,0.729508,0.669173,0.729508,0.330827,0.698039,0.545082,1.338346,0.294953
81,89,33,43,79,0.352459,0.729508,0.674242,0.729508,0.325758,0.700787,0.540984,1.348485,0.294954
82,87,35,43,79,0.352459,0.713115,0.669231,0.713115,0.330769,0.690476,0.532787,1.338462,0.294954
83,87,35,40,82,0.327869,0.713115,0.685039,0.713115,0.314961,0.698795,0.520492,1.370079,0.298091
84,87,35,39,83,0.319672,0.713115,0.690476,0.713115,0.309524,0.701613,0.516393,1.380952,0.298251
85,87,35,38,84,0.311475,0.713115,0.696,0.713115,0.304,0.704453,0.512295,1.392,0.298254
86,87,35,37,85,0.303279,0.713115,0.701613,0.713115,0.298387,0.707317,0.508197,1.403226,0.298258
87,87,35,35,87,0.286885,0.713115,0.713115,0.713115,0.286885,0.713115,0.5,1.42623,0.298261
88,87,35,34,88,0.278689,0.713115,0.719008,0.713115,0.280992,0.716049,0.495902,1.438017,0.298263
89,87,35,33,89,0.270492,0.713115,0.725,0.713115,0.275,0.719008,0.491803,1.45,0.298264
90,85,37,30,92,0.245902,0.696721,0.73913,0.696721,0.26087,0.7173,0.471311,1.478261,0.305956
91,84,38,30,92,0.245902,0.688525,0.736842,0.688525,0.263158,0.711864,0.467213,1.473684,0.30636
92,84,38,29,93,0.237705,0.688525,0.743363,0.688525,0.256637,0.714894,0.463115,1.486726,0.309448
93,83,39,29,93,0.237705,0.680328,0.741071,0.680328,0.258929,0.709402,0.459016,1.482143,0.309741
94,82,40,29,93,0.237705,0.672131,0.738739,0.672131,0.261261,0.703863,0.454918,1.477477,0.309904
95,82,40,28,94,0.229508,0.672131,0.745455,0.672131,0.254545,0.706897,0.45082,1.490909,0.316866
96,82,40,27,95,0.221311,0.672131,0.752294,0.672131,0.247706,0.709957,0.446721,1.504587,0.317603
97,81,41,27,95,0.221311,0.663934,0.75,0.663934,0.25,0.704348,0.442623,1.5,0.326711
98,80,42,27,95,0.221311,0.655738,0.747664,0.655738,0.252336,0.69869,0.438525,1.495327,0.326712
99,79,43,27,95,0.221311,0.647541,0.745283,0.647541,0.254717,0.692982,0.434426,1.490566,0.326712
100,79,43,26,96,0.213115,0.647541,0.752381,0.647541,0.247619,0.696035,0.430328,1.504762,0.326713
101,79,43,21,101,0.172131,0.647541,0.79,0.647541,0.21,0.711712,0.409836,1.58,0.331878
